time	V(vgate)	V(vout)	I(D3)
0.000000000000000e+000	3.300000e+000	7.492814e-003	3.465263e-001
6.249999897583222e-013	3.300000e+000	7.492814e-003	3.465263e-001
1.249999979516644e-012	3.300000e+000	7.492814e-003	3.465263e-001
1.874999969274967e-012	3.300000e+000	7.492814e-003	3.465263e-001
2.499999959033289e-012	3.300000e+000	7.492814e-003	3.465263e-001
3.124999948791611e-012	3.300000e+000	7.492814e-003	3.465263e-001
3.749999938549933e-012	3.300000e+000	7.492814e-003	3.465263e-001
4.374999928308254e-012	3.300000e+000	7.492814e-003	3.465263e-001
8.749999856616508e-012	3.300000e+000	7.492814e-003	3.465263e-001
1.381701117753208e-011	3.299999e+000	7.492813e-003	3.465263e-001
1.898872284204022e-011	3.299999e+000	7.492812e-003	3.465263e-001
2.415176860583643e-011	3.299997e+000	7.492810e-003	3.465263e-001
3.047100523631604e-011	3.299994e+000	7.492804e-003	3.465263e-001
3.870230163646055e-011	3.299989e+000	7.492789e-003	3.465264e-001
4.956112202251354e-011	3.299979e+000	7.492755e-003	3.465264e-001
6.401963518804904e-011	3.299958e+000	7.492670e-003	3.465264e-001
8.373679810147271e-011	3.299912e+000	7.492462e-003	3.465264e-001
1.116193596322421e-010	3.299812e+000	7.491935e-003	3.465264e-001
1.537863771207170e-010	3.299569e+000	7.490494e-003	3.465264e-001
2.281431800886676e-010	3.298879e+000	7.486005e-003	3.465265e-001
3.615482975958321e-010	3.297042e+000	7.473533e-003	3.465266e-001
4.994780817764833e-010	3.294455e+000	7.455810e-003	3.465267e-001
6.797527179730919e-010	3.290285e+000	7.427583e-003	3.465268e-001
7.887941062745995e-010	3.287361e+000	7.408455e-003	3.465269e-001
1.000000000000000e-009	3.281177e+000	7.369153e-003	3.465270e-001
1.021120589372540e-009	3.280517e+000	7.365108e-003	3.465270e-001
1.063361768117620e-009	3.279230e+000	7.357279e-003	3.465270e-001
1.147844125607780e-009	3.276877e+000	7.343550e-003	3.465270e-001
1.316808840588101e-009	3.272930e+000	7.323230e-003	3.465271e-001
1.540463133572931e-009	3.268810e+000	7.307221e-003	3.465271e-001
1.755839535261078e-009	3.265721e+000	7.300648e-003	3.465272e-001
2.002316109134993e-009	3.262822e+000	7.299563e-003	3.465272e-001
2.282337793664987e-009	3.259916e+000	7.302247e-003	3.465272e-001
2.651662004454296e-009	3.256360e+000	7.308573e-003	3.465272e-001
3.112013606843220e-009	3.252090e+000	7.318088e-003	3.465272e-001
3.770620125079440e-009	3.246080e+000	7.332646e-003	3.465272e-001
4.731344755383759e-009	3.237371e+000	7.354332e-003	3.465272e-001
6.496220084152619e-009	3.221457e+000	7.394632e-003	3.465272e-001
1.002597074169034e-008	3.189919e+000	7.476661e-003	3.465272e-001
1.686190824169034e-008	3.129641e+000	7.639635e-003	3.465271e-001
2.369784574169034e-008	3.070365e+000	7.808024e-003	3.465264e-001
3.053378324169034e-008	3.012212e+000	7.982843e-003	3.465248e-001
4.420565824169034e-008	2.899185e+000	8.353186e-003	3.465186e-001
6.471347074169033e-008	2.737534e+000	8.966459e-003	3.465017e-001
7.838534574169032e-008	2.634792e+000	9.419229e-003	3.464853e-001
9.205722074169031e-008	2.535892e+000	9.912282e-003	3.464650e-001
1.057290957416903e-007	2.440689e+000	1.045090e-002	3.464406e-001
1.194009707416903e-007	2.349042e+000	1.104131e-002	3.464121e-001
1.330728457416903e-007	2.260817e+000	1.169096e-002	3.463793e-001
1.467447207416903e-007	2.175885e+000	1.240878e-002	3.463419e-001
1.604165957416903e-007	2.094127e+000	1.320558e-002	3.462997e-001
1.740884707416904e-007	2.015426e+000	1.409457e-002	3.462522e-001
1.809244082416904e-007	1.977188e+000	1.457860e-002	3.462263e-001
1.877603457416904e-007	1.939674e+000	1.509209e-002	3.461989e-001
1.945962832416904e-007	1.902872e+000	1.563773e-002	3.461698e-001
2.014322207416904e-007	1.866771e+000	1.621854e-002	3.461390e-001
2.082681582416904e-007	1.831359e+000	1.683790e-002	3.461063e-001
2.151040957416904e-007	1.796625e+000	1.749968e-002	3.460716e-001
2.219400332416904e-007	1.762559e+000	1.820823e-002	3.460348e-001
2.287759707416904e-007	1.729152e+000	1.896854e-002	3.459957e-001
2.356119082416904e-007	1.696396e+000	1.978627e-002	3.459541e-001
2.424478457416904e-007	1.664282e+000	2.066796e-002	3.459097e-001
2.492837832416904e-007	1.632805e+000	2.162113e-002	3.458624e-001
2.561197207416904e-007	1.601958e+000	2.265446e-002	3.458120e-001
2.629556582416904e-007	1.571738e+000	2.377805e-002	3.457579e-001
2.697915957416904e-007	1.542141e+000	2.500366e-002	3.457000e-001
2.766275332416904e-007	1.513167e+000	2.634507e-002	3.456378e-001
2.834634707416904e-007	1.484816e+000	2.781848e-002	3.455708e-001
2.902994082416904e-007	1.457092e+000	2.944303e-002	3.454985e-001
2.971353457416905e-007	1.430001e+000	3.124143e-002	3.454202e-001
3.039712832416905e-007	1.403553e+000	3.324071e-002	3.453353e-001
3.108072207416905e-007	1.377762e+000	3.547331e-002	3.452429e-001
3.176431582416905e-007	1.352646e+000	3.797822e-002	3.451419e-001
3.244790957416905e-007	1.328231e+000	4.080270e-002	3.450312e-001
3.313150332416905e-007	1.304551e+000	4.400433e-002	3.449094e-001
3.381509707416905e-007	1.281648e+000	4.765384e-002	3.447748e-001
3.449869082416905e-007	1.259579e+000	5.183890e-002	3.446253e-001
3.518228457416905e-007	1.238418e+000	5.666948e-002	3.444585e-001
3.586587832416905e-007	1.218259e+000	6.228548e-002	3.442715e-001
3.654947207416905e-007	1.199232e+000	6.886806e-002	3.440607e-001
3.723306582416905e-007	1.181509e+000	7.665701e-002	3.438214e-001
3.791665957416905e-007	1.165328e+000	8.597770e-002	3.435480e-001
3.860025332416906e-007	1.151029e+000	9.728391e-002	3.432331e-001
3.928384707416906e-007	1.139102e+000	1.112252e-001	3.428671e-001
3.996744082416906e-007	1.130269e+000	1.287471e-001	3.424370e-001
4.065103457416906e-007	1.125261e+000	1.508309e-001	3.419254e-001
4.133462832416906e-007	1.123554e+000	1.769481e-001	3.413116e-001
4.201822207416906e-007	1.123186e+000	2.048005e-001	3.405768e-001
