time	V(vgate)	V(vout)	I(D3)
2.244148410964728e-007	1.067610e+000	1.924645e+000	2.855373e-001
2.312507785964728e-007	1.062583e+000	2.138859e+000	2.770301e-001
2.380867160964728e-007	1.056792e+000	2.377545e+000	2.676970e-001
2.449226535964728e-007	1.050110e+000	2.642665e+000	2.574399e-001
2.517585910964728e-007	1.042382e+000	2.935422e+000	2.461541e-001
2.585945285964728e-007	1.033397e+000	3.256075e+000	2.337330e-001
2.654304660964728e-007	1.022867e+000	3.603768e+000	2.200751e-001
2.722664035964728e-007	1.010368e+000	3.976336e+000	2.050914e-001
2.791023410964728e-007	9.952551e-001	4.370013e+000	1.887144e-001
2.859382785964728e-007	9.764915e-001	4.778867e+000	1.709088e-001
2.927742160964728e-007	9.523116e-001	5.193666e+000	1.516863e-001
2.996101535964728e-007	9.196150e-001	5.599679e+000	1.311262e-001
3.064460910964728e-007	8.732297e-001	5.973588e+000	1.094072e-001
3.132820285964728e-007	8.062763e-001	6.282884e+000	8.685075e-002
3.201179660964728e-007	7.132158e-001	6.493382e+000	6.396233e-002
3.269539035964728e-007	5.938646e-001	6.582320e+000	4.143686e-002
3.337898410964729e-007	4.539936e-001	6.544944e+000	2.010507e-002
3.406257785964729e-007	3.022445e-001	6.390526e+000	8.285568e-004
3.474617160964729e-007	1.472129e-001	6.135961e+000	-1.562263e-002
3.542976535964729e-007	-3.555822e-003	5.802351e+000	-2.867865e-002
3.611335910964729e-007	-1.436004e-001	5.413464e+000	-3.803961e-002
3.679695285964729e-007	-2.674240e-001	4.994481e+000	-4.368508e-002
3.748054660964729e-007	-3.704038e-001	4.570728e+000	-4.582369e-002
3.816414035964729e-007	-4.487574e-001	4.166382e+000	-4.481486e-002
3.884773410964729e-007	-4.995745e-001	3.803240e+000	-4.110333e-002
3.953132785964729e-007	-5.209265e-001	3.499648e+000	-3.518213e-002
4.021492160964729e-007	-5.120520e-001	3.269683e+000	-2.757417e-002
4.089851535964729e-007	-4.735957e-001	3.122639e+000	-1.881725e-002
4.158210910964729e-007	-4.084588e-001	3.060324e+000	-9.443132e-003
4.218534111831416e-007	-3.313269e-001	3.077299e+000	-1.051334e-003
4.277087576694297e-007	-2.417447e-001	3.160051e+000	6.832052e-003
4.345446951694297e-007	-1.262860e-001	3.326315e+000	1.532776e-002
4.413806326694297e-007	-6.866125e-003	3.553344e+000	2.273146e-002
4.482165701694298e-007	1.090577e-001	3.829487e+000	2.868835e-002
4.550525076694298e-007	2.140197e-001	4.138152e+000	3.293701e-002
4.618884451694298e-007	3.017945e-001	4.461543e+000	3.530520e-002
4.687243826694298e-007	3.678583e-001	4.781594e+000	3.572407e-002
4.755603201694298e-007	4.095786e-001	5.080945e+000	3.423689e-002
4.823962576694297e-007	4.261638e-001	5.343882e+000	3.099643e-002
4.892321951694297e-007	4.184452e-001	5.557206e+000	2.624698e-002
4.960681326694296e-007	3.885744e-001	5.710941e+000	2.029469e-002
5.029040701694296e-007	3.397004e-001	5.798834e+000	1.348053e-002
5.097400076694296e-007	2.756632e-001	5.818614e+000	6.170326e-003
5.165759451694295e-007	2.007200e-001	5.771990e+000	-1.240271e-003
5.234118826694295e-007	1.193079e-001	5.664392e+000	-8.327097e-003
5.302478201694294e-007	3.584171e-002	5.504497e+000	-1.466379e-002
5.370837576694294e-007	-4.560244e-002	5.303978e+000	-1.989824e-002
5.433990607996976e-007	-1.154280e-001	5.093040e+000	-2.345063e-002
5.502349982996976e-007	-1.817919e-001	4.850429e+000	-2.573929e-002
5.570709357996975e-007	-2.360310e-001	4.607509e+000	-2.642079e-002
5.639068732996975e-007	-2.756323e-001	4.377493e+000	-2.552292e-002
5.707428107996974e-007	-2.989270e-001	4.172664e+000	-2.319450e-002
5.775787482996974e-007	-3.050298e-001	4.003338e+000	-1.965397e-002
5.844146857996973e-007	-2.939167e-001	3.877398e+000	-1.516849e-002
5.912506232996973e-007	-2.664821e-001	3.799985e+000	-1.003484e-002
5.980865607996972e-007	-2.245516e-001	3.773368e+000	-4.562365e-003
6.049224982996972e-007	-1.708360e-001	3.796911e+000	9.427146e-004
6.117237191784191e-007	-1.090853e-001	3.867009e+000	6.162909e-003
6.185596566784191e-007	-4.254612e-002	3.977397e+000	1.092565e-002
6.241658300411859e-007	1.251108e-002	4.094429e+000	1.427079e-002
6.304364244731315e-007	7.128827e-002	4.247648e+000	1.722975e-002
6.372723619731314e-007	1.288782e-001	4.429793e+000	1.947561e-002
6.441082994731314e-007	1.768312e-001	4.618110e+000	2.062178e-002
6.509442369731313e-007	2.126812e-001	4.802526e+000	2.062351e-002
6.577801744731313e-007	2.349772e-001	4.973080e+000	1.951890e-002
6.646161119731312e-007	2.431926e-001	5.120911e+000	1.740529e-002
6.714520494731312e-007	2.376640e-001	5.238718e+000	1.443185e-002
6.782879869731311e-007	2.194804e-001	5.321128e+000	1.078925e-002
6.851239244731311e-007	1.903428e-001	5.364943e+000	6.698125e-003
6.919598619731310e-007	1.524372e-001	5.369433e+000	2.396909e-003
6.986593897210271e-007	1.091009e-001	5.336587e+000	-1.784226e-003
7.054953272210271e-007	6.117469e-002	5.268456e+000	-5.777293e-003
7.123312647210270e-007	1.219267e-002	5.170921e+000	-9.277553e-003
7.191672022210270e-007	-3.529007e-002	5.050473e+000	-1.209820e-002
7.260031397210269e-007	-7.888188e-002	4.914803e+000	-1.410099e-002
7.328390772210269e-007	-1.164710e-001	4.772129e+000	-1.520394e-002
7.396750147210268e-007	-1.463046e-001	4.630717e+000	-1.538405e-002
7.465109522210268e-007	-1.670573e-001	4.498412e+000	-1.467478e-002
7.533468897210267e-007	-1.778866e-001	4.382215e+000	-1.315950e-002
7.601828272210267e-007	-1.784757e-001	4.287937e+000	-1.096231e-002
7.670187647210266e-007	-1.690560e-001	4.219931e+000	-8.237737e-003
7.738547022210266e-007	-1.504055e-001	4.180922e+000	-5.159994e-003
7.806906397210266e-007	-1.238154e-001	4.171933e+000	-1.912530e-003
7.875265772210265e-007	-9.102105e-002	4.192307e+000	1.321749e-003
7.943625147210265e-007	-5.409702e-002	4.239818e+000	4.369370e-003
8.011984522210264e-007	-1.527463e-002	4.310320e+000	7.091071e-003
8.071624399601235e-007	1.839684e-002	4.387538e+000	9.088911e-003
8.129558995020597e-007	4.919735e-002	4.473582e+000	1.058235e-002
8.197918370020597e-007	8.148438e-002	4.582693e+000	1.175053e-002
8.266277745020596e-007	1.080532e-001	4.693889e+000	1.226976e-002
8.334637120020596e-007	1.275103e-001	4.801430e+000	1.211229e-002
8.402996495020595e-007	1.390816e-001	4.899560e+000	1.131018e-002
8.471355870020595e-007	1.424964e-001	4.983249e+000	9.929628e-003
8.539715245020594e-007	1.379655e-001	5.048448e+000	8.066375e-003
8.608074620020594e-007	1.261311e-001	5.092280e+000	5.839692e-003
8.676433995020594e-007	1.081769e-001	5.114100e+000	3.386168e-003
8.733746184419685e-007	8.906256e-002	5.114012e+000	1.253375e-003
8.797131946720956e-007	6.465739e-002	5.094366e+000	-1.067291e-003
8.865491321720955e-007	3.627734e-002	5.054051e+000	-3.400277e-003
8.933850696720955e-007	7.238612e-003	4.996707e+000	-5.441405e-003
9.002210071720954e-007	-2.094179e-002	4.925854e+000	-7.084070e-003
9.070569446720954e-007	-4.680086e-002	4.846005e+000	-8.250621e-003
9.138928821720954e-007	-6.904964e-002	4.761992e+000	-8.894274e-003
9.207288196720953e-007	-8.662831e-002	4.678682e+000	-9.000618e-003
9.275647571720953e-007	-9.875109e-002	4.600706e+000	-8.586822e-003
9.344006946720952e-007	-1.049398e-001	4.532208e+000	-7.698812e-003
9.412366321720952e-007	-1.050440e-001	4.476637e+000	-6.406879e-003
9.480725696720951e-007	-9.924652e-002	4.436590e+000	-4.800243e-003
9.549085071720951e-007	-8.805132e-002	4.413698e+000	-2.981012e-003
9.617444446720951e-007	-7.225366e-002	4.408587e+000	-1.057962e-003
9.685803821720952e-007	-5.289177e-002	4.420881e+000	8.595423e-004
9.754163196720953e-007	-3.118229e-002	4.449264e+000	2.667258e-003
9.822522571720953e-007	-8.420462e-003	4.491344e+000	4.279192e-003
9.883965136646438e-007	1.186610e-002	4.538846e+000	5.491615e-003
9.944280707047508e-007	3.056888e-002	4.592296e+000	6.398358e-003
1.001264008204751e-006	4.933727e-002	4.657283e+000	7.065202e-003
1.008099945704751e-006	6.472287e-002	4.723310e+000	7.341837e-003
1.014935883204751e-006	7.594131e-002	4.786921e+000	7.216968e-003
1.021771820704751e-006	8.254224e-002	4.844728e+000	6.711872e-003
1.028607758204751e-006	8.436096e-002	4.893795e+000	5.867928e-003
1.035443695704751e-006	8.151052e-002	4.931771e+000	4.743771e-003
1.042279633204751e-006	7.435802e-002	4.957013e+000	3.411577e-003
1.049115570704751e-006	6.362021e-002	4.969327e+000	1.952998e-003
1.054584118740071e-006	5.276336e-002	4.968961e+000	7.489266e-004
1.060795745535327e-006	3.855155e-002	4.957405e+000	-5.924579e-004
1.067631683035327e-006	2.169989e-002	4.933581e+000	-1.966009e-003
1.074467620535327e-006	4.449978e-003	4.899759e+000	-3.166156e-003
1.081303558035327e-006	-1.229218e-002	4.857965e+000	-4.131002e-003
1.088118683102386e-006	-2.759606e-002	4.811006e+000	-4.813569e-003
1.094954620602386e-006	-4.077886e-002	4.761448e+000	-5.190866e-003
1.101790558102386e-006	-5.115940e-002	4.712314e+000	-5.252178e-003
1.108626495602386e-006	-5.827184e-002	4.666343e+000	-5.006849e-003
1.115462433102386e-006	-6.184176e-002	4.625991e+000	-4.481250e-003
1.122298370602386e-006	-6.179494e-002	4.593307e+000	-3.716223e-003
1.129134308102386e-006	-5.825714e-002	4.569833e+000	-2.764060e-003
1.135970245602386e-006	-5.154338e-002	4.556543e+000	-1.685046e-003
1.142806183102386e-006	-4.213667e-002	4.553809e+000	-5.437802e-004
1.149642120602386e-006	-3.065708e-002	4.561408e+000	5.945096e-004
1.156478058102386e-006	-1.782284e-002	4.578556e+000	1.667484e-003
1.163313995602386e-006	-4.405691e-003	4.603976e+000	2.618879e-003
1.170149933102386e-006	8.837481e-003	4.635921e+000	3.404953e-003
1.176525971600685e-006	2.034856e-002	4.669987e+000	3.950221e-003
1.183361909100685e-006	3.115076e-002	4.709003e+000	4.309786e-003
1.190197846600685e-006	3.987906e-002	4.748333e+000	4.433400e-003
1.197033784100685e-006	4.610817e-002	4.785882e+000	4.319422e-003
1.203869721600686e-006	4.959353e-002	4.819679e+000	3.982863e-003
1.210705659100686e-006	5.025609e-002	4.848031e+000	3.450445e-003
1.217541596600686e-006	4.817814e-002	4.869609e+000	2.758767e-003
1.224377534100686e-006	4.359023e-002	4.883514e+000	1.951968e-003
1.231213471600686e-006	3.689560e-002	4.889546e+000	1.078814e-003
1.237214314083010e-006	2.958955e-002	4.888178e+000	2.957483e-004
1.243028813956928e-006	2.153035e-002	4.880723e+000	-4.403046e-004
1.249864751456928e-006	1.141395e-002	4.865494e+000	-1.236722e-003
1.256700688956928e-006	1.169354e-003	4.844664e+000	-1.924074e-003
1.263536626456928e-006	-8.675176e-003	4.819372e+000	-2.466433e-003
1.270372563956928e-006	-1.759800e-002	4.791227e+000	-2.839211e-003
1.277208501456928e-006	-2.514682e-002	4.761935e+000	-3.028319e-003
1.284044438956928e-006	-3.095996e-002	4.733198e+000	-3.030536e-003
1.290880376456928e-006	-3.478250e-002	4.706618e+000	-2.853230e-003
1.297716313956928e-006	-3.647656e-002	4.683619e+000	-2.513471e-003
1.304552251456928e-006	-3.602538e-002	4.665367e+000	-2.036645e-003
1.311388188956928e-006	-3.353080e-002	4.652721e+000	-1.454664e-003
1.318224126456928e-006	-2.920451e-002	4.646198e+000	-8.039126e-004
1.325060063956928e-006	-2.336777e-002	4.645863e+000	-1.226433e-004
1.331476037623624e-006	-1.682373e-002	4.651183e+000	5.095693e-004
1.338311975123624e-006	-9.134463e-003	4.662355e+000	1.139798e-003
1.345147912623624e-006	-1.178807e-003	4.678244e+000	1.694189e-003
1.351983850123624e-006	6.601840e-003	4.697910e+000	2.144737e-003
1.358819787623624e-006	1.377858e-002	4.720155e+000	2.470582e-003
1.365655725123624e-006	1.997337e-002	4.743683e+000	2.658486e-003
