time	V(vgate)	V(vout)	I(D3)
0.000000000000000e+000	3.300000e+000	7.492814e-003	3.465263e-001
6.249999897583222e-013	3.300000e+000	7.492814e-003	3.465263e-001
1.249999979516644e-012	3.300000e+000	7.492814e-003	3.465263e-001
1.874999969274967e-012	3.300000e+000	7.492814e-003	3.465263e-001
2.499999959033289e-012	3.300000e+000	7.492814e-003	3.465263e-001
3.124999948791611e-012	3.300000e+000	7.492814e-003	3.465263e-001
3.749999938549933e-012	3.300000e+000	7.492814e-003	3.465263e-001
4.374999928308254e-012	3.300000e+000	7.492814e-003	3.465263e-001
8.749999856616508e-012	3.300000e+000	7.492814e-003	3.465263e-001
1.360089847921132e-011	3.299999e+000	7.492813e-003	3.465263e-001
1.857552683198755e-011	3.299999e+000	7.492812e-003	3.465263e-001
2.334920986851804e-011	3.299997e+000	7.492810e-003	3.465263e-001
2.915267722666051e-011	3.299995e+000	7.492804e-003	3.465263e-001
3.633240561350562e-011	3.299990e+000	7.492792e-003	3.465264e-001
4.548320467969268e-011	3.299980e+000	7.492763e-003	3.465264e-001
5.687866695592900e-011	3.299962e+000	7.492700e-003	3.465264e-001
7.132737251049993e-011	3.299926e+000	7.492558e-003	3.465264e-001
8.947149134336207e-011	3.299856e+000	7.492247e-003	3.465264e-001
1.125840484077163e-010	3.299719e+000	7.491568e-003	3.465264e-001
1.419839264903324e-010	3.299448e+000	7.490105e-003	3.465264e-001
1.799414881943945e-010	3.298906e+000	7.486952e-003	3.465265e-001
2.294088517487025e-010	3.297807e+000	7.480177e-003	3.465265e-001
2.955877715691281e-010	3.295515e+000	7.465388e-003	3.465266e-001
3.876706522884971e-010	3.290512e+000	7.432035e-003	3.465267e-001
5.290130307532748e-010	3.278842e+000	7.353060e-003	3.465267e-001
7.173152430704448e-010	3.258265e+000	7.213418e-003	3.465268e-001
7.699810063518946e-010	3.251237e+000	7.166052e-003	3.465269e-001
8.753125329147942e-010	3.235182e+000	7.059262e-003	3.465269e-001
1.000000000000000e-009	3.215129e+000	6.927500e-003	3.465270e-001
1.012468746708521e-009	3.213010e+000	6.913864e-003	3.465270e-001
1.037406240125562e-009	3.208771e+000	6.886683e-003	3.465270e-001
1.087281226959644e-009	3.200407e+000	6.833646e-003	3.465270e-001
1.187031200627809e-009	3.184942e+000	6.739324e-003	3.465270e-001
1.386531147964138e-009	3.159623e+000	6.600555e-003	3.465271e-001
1.594882309899002e-009	3.142489e+000	6.536542e-003	3.465272e-001
1.841326522421892e-009	3.134134e+000	6.562955e-003	3.465272e-001
2.105236863079855e-009	3.133262e+000	6.659069e-003	3.465273e-001
2.376967591035408e-009	3.133925e+000	6.769218e-003	3.465273e-001
2.625893005449466e-009	3.130832e+000	6.836409e-003	3.465274e-001
2.942026461749078e-009	3.120463e+000	6.865026e-003	3.465274e-001
3.302962899407213e-009	3.104416e+000	6.861622e-003	3.465275e-001
3.673008540067407e-009	3.088307e+000	6.862227e-003	3.465276e-001
4.050353192782796e-009	3.074999e+000	6.890760e-003	3.465276e-001
4.602301342153156e-009	3.058456e+000	6.957629e-003	3.465278e-001
5.165790538544798e-009	3.040848e+000	7.018321e-003	3.465279e-001
5.750526428496460e-009	3.021084e+000	7.067317e-003	3.465280e-001
6.488486159959527e-009	2.996342e+000	7.130811e-003	3.465281e-001
7.268390611937899e-009	2.971259e+000	7.206946e-003	3.465284e-001
8.396378944964386e-009	2.935221e+000	7.317750e-003	3.465286e-001
9.556305080001156e-009	2.898405e+000	7.432347e-003	3.465288e-001
1.187615735007469e-008	2.826438e+000	7.673507e-003	3.465292e-001
1.434154933941821e-008	2.751796e+000	7.943096e-003	3.465293e-001
1.755590418045370e-008	2.657781e+000	8.322008e-003	3.465287e-001
2.251774958861065e-008	2.519352e+000	8.974012e-003	3.465259e-001
2.935368708861065e-008	2.339463e+000	1.000809e-002	3.465181e-001
3.618962458861065e-008	2.171512e+000	1.123934e-002	3.465049e-001
4.302556208861066e-008	2.015544e+000	1.274433e-002	3.464848e-001
4.986149958861066e-008	1.870736e+000	1.462110e-002	3.464564e-001
5.669743708861066e-008	1.736353e+000	1.702086e-002	3.464181e-001
6.353337458861066e-008	1.611802e+000	2.018778e-002	3.463672e-001
7.036931208861065e-008	1.496657e+000	2.453907e-002	3.462999e-001
7.720524958861065e-008	1.390805e+000	3.083200e-002	3.462100e-001
8.404118708861064e-008	1.294686e+000	4.054047e-002	3.460872e-001
9.087712458861063e-008	1.210012e+000	5.681302e-002	3.459128e-001
9.771306208861063e-008	1.139988e+000	8.524152e-002	3.456616e-001
1.028329824682943e-007	1.104575e+000	1.247143e-001	3.453834e-001
1.076321684380925e-007	1.090489e+000	1.844037e-001	3.449905e-001
1.124113679288450e-007	1.087808e+000	2.584327e-001	3.443997e-001
1.178500221087837e-007	1.087314e+000	3.473139e-001	3.434143e-001
1.237679107915547e-007	1.086539e+000	4.459955e-001	3.419113e-001
1.306038482915547e-007	1.085451e+000	5.632012e-001	3.396039e-001
1.374397857915547e-007	1.084091e+000	6.846253e-001	3.366852e-001
1.442757232915547e-007	1.082457e+000	8.116456e-001	3.331358e-001
1.511116607915548e-007	1.080497e+000	9.458708e-001	3.289578e-001
1.579475982915548e-007	1.078178e+000	1.089438e+000	3.241469e-001
1.647835357915548e-007	1.075424e+000	1.245082e+000	3.186878e-001
1.716194732915548e-007	1.072158e+000	1.416270e+000	3.125501e-001
1.784554107915548e-007	1.068270e+000	1.607148e+000	3.056847e-001
1.852913482915548e-007	1.063648e+000	1.822397e+000	2.980210e-001
1.921272857915548e-007	1.058155e+000	2.066848e+000	2.894641e-001
1.989632232915548e-007	1.051648e+000	2.345001e+000	2.798952e-001
2.057991607915548e-007	1.043949e+000	2.660460e+000	2.691740e-001
2.126350982915548e-007	1.034836e+000	3.015426e+000	2.571449e-001
2.194710357915548e-007	1.023999e+000	3.410276e+000	2.436461e-001
2.263069732915548e-007	1.010980e+000	3.843206e+000	2.285219e-001
2.331429107915548e-007	9.950594e-001	4.309831e+000	2.116374e-001
2.399788482915548e-007	9.750455e-001	4.802495e+000	1.928954e-001
2.468147857915549e-007	9.488504e-001	5.308809e+000	1.722587e-001
