time	V(vgate)	V(vout)	I(D3)
0.000000000000000e+000	3.300000e+000	7.492814e-003	3.465263e-001
6.249999897583222e-013	3.300000e+000	7.492814e-003	3.465263e-001
1.249999979516644e-012	3.300000e+000	7.492814e-003	3.465263e-001
1.874999969274967e-012	3.300000e+000	7.492814e-003	3.465263e-001
2.499999959033289e-012	3.300000e+000	7.492814e-003	3.465263e-001
3.124999948791611e-012	3.300000e+000	7.492814e-003	3.465263e-001
3.749999938549933e-012	3.300000e+000	7.492814e-003	3.465263e-001
4.374999928308254e-012	3.300000e+000	7.492814e-003	3.465263e-001
8.749999856616508e-012	3.300000e+000	7.492814e-003	3.465263e-001
1.367290834447826e-011	3.299999e+000	7.492813e-003	3.465263e-001
1.871257891306422e-011	3.299999e+000	7.492812e-003	3.465263e-001
2.361349071358316e-011	3.299997e+000	7.492810e-003	3.465263e-001
2.958212553894471e-011	3.299994e+000	7.492804e-003	3.465263e-001
3.709153583130893e-011	3.299989e+000	7.492791e-003	3.465264e-001
4.676229096663532e-011	3.299980e+000	7.492761e-003	3.465264e-001
5.905673584160676e-011	3.299961e+000	7.492691e-003	3.465264e-001
7.497144644505284e-011	3.299922e+000	7.492532e-003	3.465264e-001
9.561803387990000e-011	3.299845e+000	7.492170e-003	3.465264e-001
1.230121333877799e-010	3.299687e+000	7.491339e-003	3.465264e-001
1.600575051932468e-010	3.299355e+000	7.489422e-003	3.465265e-001
2.124336847027336e-010	3.298619e+000	7.484833e-003	3.465265e-001
2.925533347515661e-010	3.296792e+000	7.472754e-003	3.465266e-001
4.516545969393136e-010	3.291226e+000	7.434958e-003	3.465267e-001
6.608547240065079e-010	3.281353e+000	7.367893e-003	3.465268e-001
8.062400156123476e-010	3.272952e+000	7.312198e-003	3.465269e-001
1.000000000000000e-009	3.260546e+000	7.232117e-003	3.465270e-001
1.019375998438765e-009	3.259229e+000	7.223957e-003	3.465270e-001
1.058127995316296e-009	3.256634e+000	7.207986e-003	3.465270e-001
1.135631989071357e-009	3.251776e+000	7.179012e-003	3.465270e-001
1.290639976581479e-009	3.243582e+000	7.134855e-003	3.465271e-001
1.520573725550174e-009	3.234449e+000	7.097279e-003	3.465271e-001
1.731424446128513e-009	3.228705e+000	7.087526e-003	3.465272e-001
2.001650721843385e-009	3.223435e+000	7.094962e-003	3.465272e-001
2.295772593775469e-009	3.218377e+000	7.109666e-003	3.465272e-001
2.682843043978850e-009	3.211708e+000	7.128960e-003	3.465273e-001
3.293943892606121e-009	3.200921e+000	7.156828e-003	3.465273e-001
4.304295987300812e-009	3.183043e+000	7.202056e-003	3.465274e-001
5.681298975930001e-009	3.158891e+000	7.264838e-003	3.465275e-001
8.435304953188380e-009	3.111296e+000	7.394134e-003	3.465277e-001
1.394331690770514e-008	3.018232e+000	7.664615e-003	3.465278e-001
2.077925440770514e-008	2.906170e+000	8.021491e-003	3.465269e-001
2.761519190770514e-008	2.798063e+000	8.405733e-003	3.465243e-001
3.445112940770514e-008	2.693969e+000	8.821862e-003	3.465196e-001
4.128706690770514e-008	2.593736e+000	9.273720e-003	3.465125e-001
4.812300440770514e-008	2.497219e+000	9.765796e-003	3.465029e-001
5.495894190770514e-008	2.404276e+000	1.030336e-002	3.464907e-001
6.179487940770514e-008	2.314774e+000	1.089266e-002	3.464757e-001
6.863081690770513e-008	2.228584e+000	1.154113e-002	3.464578e-001
7.546675440770513e-008	2.145584e+000	1.225769e-002	3.464368e-001
8.230269190770512e-008	2.065658e+000	1.305318e-002	3.464124e-001
8.913862940770511e-008	1.988695e+000	1.394083e-002	3.463844e-001
9.597456690770511e-008	1.914591e+000	1.493702e-002	3.463524e-001
1.028105044077051e-007	1.843251e+000	1.606219e-002	3.463160e-001
1.096464419077051e-007	1.774587e+000	1.734219e-002	3.462746e-001
1.164823794077051e-007	1.708520e+000	1.881019e-002	3.462276e-001
1.233183169077051e-007	1.644983e+000	2.050922e-002	3.461742e-001
1.301542544077051e-007	1.583922e+000	2.249605e-002	3.461133e-001
1.369901919077051e-007	1.525302e+000	2.484672e-002	3.460436e-001
1.438261294077051e-007	1.469111e+000	2.766470e-002	3.459634e-001
1.506620669077051e-007	1.415370e+000	3.109325e-002	3.458705e-001
1.574980044077051e-007	1.364147e+000	3.533423e-002	3.457619e-001
1.643339419077051e-007	1.315577e+000	4.067776e-002	3.456337e-001
1.711698794077052e-007	1.269901e+000	4.755076e-002	3.454803e-001
1.780058169077052e-007	1.227526e+000	5.660225e-002	3.452940e-001
1.848417544077052e-007	1.189153e+000	6.886818e-002	3.450637e-001
1.916776919077052e-007	1.156051e+000	8.612866e-002	3.447727e-001
1.985136294077052e-007	1.130699e+000	1.117499e-001	3.443944e-001
2.053495669077052e-007	1.116263e+000	1.500997e-001	3.438861e-001
2.121855044077052e-007	1.111782e+000	2.006156e-001	3.431888e-001
2.190214419077052e-007	1.111231e+000	2.563816e-001	3.422438e-001
2.258573794077052e-007	1.110752e+000	3.128683e-001	3.410145e-001
2.326933169077052e-007	1.110163e+000	3.699322e-001	3.394910e-001
2.395292544077052e-007	1.109495e+000	4.276930e-001	3.376786e-001
2.463651919077052e-007	1.108727e+000	4.862250e-001	3.355879e-001
2.532011294077052e-007	1.107878e+000	5.456598e-001	3.332309e-001
2.600370669077052e-007	1.106936e+000	6.061119e-001	3.306191e-001
2.668730044077052e-007	1.105912e+000	6.677361e-001	3.277629e-001
2.737089419077052e-007	1.104796e+000	7.306900e-001	3.246712e-001
2.805448794077052e-007	1.103593e+000	7.951685e-001	3.213515e-001
2.873808169077053e-007	1.102296e+000	8.613829e-001	3.178094e-001
2.942167544077053e-007	1.100904e+000	9.295842e-001	3.140490e-001
3.010526919077053e-007	1.099410e+000	1.000053e+000	3.100723e-001
3.078886294077053e-007	1.097810e+000	1.073114e+000	3.058796e-001
3.147245669077053e-007	1.096094e+000	1.149135e+000	3.014690e-001
3.215605044077053e-007	1.094254e+000	1.228531e+000	2.968366e-001
3.283964419077053e-007	1.092278e+000	1.311768e+000	2.919759e-001
3.352323794077053e-007	1.090153e+000	1.399361e+000	2.868780e-001
3.420683169077053e-007	1.087864e+000	1.491865e+000	2.815314e-001
