"Index","X (mm)","Y (mm)","Arc Angle (Neg = CW)"
"0","31.319571420000003","119.30272260000001",""
"1","30.883554300000004","119.3696553",""
"2","30.466659600000003","119.4308493",""
"3","30.533592300000002","119.52933780000002",""
"4","30.583314540000003","119.63834208000002",""
"5","30.614867520000004","119.755953",""
"6","30.626344920000005","119.88121176000001",""
"7","30.613908720000005","120.01220640000001",""
"8","30.578529000000003","120.13746798000001",""
"9","30.52115892","120.25412010000001",""
"10","30.44275164","120.35930046000001",""
"11","30.509684340000003","120.40711074000001",""
"12","30.560362560000005","120.47021670000001",""
"13","30.592871520000003","120.54384408000001",""
"14","30.604348920000003","120.62607528000002",""
"15","30.597665520000003","120.68631330000001",""
"16","30.580463520000006","120.74273022000001",""
"17","30.55274292","120.79340562000002",""
"18","30.516410040000004","120.83834796000001",""
"19","30.471467700000005","120.87468084000001",""
"20","30.420792300000006","120.90240144000002",""
"21","30.364375380000002","120.91960344",""
"22","30.304137360000002","120.92532804000001",""
"23","30.243896520000003","120.91960344",""
"24","30.187482420000002","120.90240144000002",""
"25","30.135848220000003","120.87468084000001",""
"26","30.091864680000004","120.83834796000001",""
"27","30.054573","120.79340562000002",""
"28","30.026852400000003","120.74273022000001",""
"29","30.0096504","120.68631330000001",""
"30","30.003925800000005","120.62607528000002",""
"31","30.0058998","120.59165154000002",""
"32","29.908370100000003","120.59929374000001",""
"33","29.802233760000004","120.59165154000002",""
"34","29.699921340000003","120.56869674000001",""
"35","29.603347620000005","120.53140506000001",""
"36","29.513465760000003","120.48072684000002",""
"37","29.432190540000004","120.41857686000002",""
"38","29.359521960000002","120.34399350000001",""
"39","29.298325140000003","120.25985034000001",""
"40","29.248602900000005","120.16614456000002",""
"41","29.137686660000004","120.40710228000002",""
"42","29.03442108","120.65092794000002",""
"43","28.938803340000003","120.89762154000002",""
"44","28.851789420000003","121.14527112000002",""
"45","28.772426160000006","121.39483548000001",""
"46","28.69975758","121.6463118",""
"47","28.635692820000003","121.89970008000002",""
"48","28.578322740000004","122.15308554",""
"49","28.48652892","122.66273004000001",""
"50","28.42150818","123.17428650000001",""
"51","28.383260520000004","123.68488698",""
"52","28.369865520000005","124.19357550000002",""
"53","28.532415960000005","124.27006800000001",""
"54","28.695922380000003","124.33508874",""
"55","28.756163220000005","123.87325452000002",""
"56","29.728597920000002","123.26990424000002",""
"57","29.67122784","123.46879038",""
"58","29.626288320000004","123.66480576000001",""
"59","29.592820560000003","123.85891200000002",""
"60","29.570824560000002","124.04919150000002",""
"61","29.560305960000004","124.23564708",""
"62","29.560305960000004","124.41731994000001",""
"63","29.570824560000002","124.59516888000002",""
"64","29.589944160000005","124.76632596000002",""
"65","29.61002256","124.88011296000002",""
"66","28.652886360000004","124.88011296000002",""
"67","28.667240160000002","124.62768066000002",""
"68","28.521903000000002","124.57604646000001",""
"69","28.375607040000002","124.51676442000002",""
"70","28.393767840000002","124.88011296000002",""
"71","27.282687276000004","124.88011296000002",""
"72","27.282687276000004","124.88208696000002",""
"73","28.393767840000002","124.88208696000002",""
"74","28.398533640000004","124.97483676000002",""
"75","28.44060804","125.42710836",""
"76","28.50084606","125.87173212",""
"77","28.578297360000004","126.30870804",""
"78","28.672003140000005","126.73516254000002",""
"79","28.78100742","127.15014528000002",""
"80","28.905310200000002","127.55269746",""
"81","29.04204354","127.94090712000002",""
"82","29.30881836","128.0030571",""
"83","29.591847660000003","128.05564728000002",""
"84","29.891131440000002","128.10058962000002",""
"85","30.208584480000003","128.13596652",""
"86","30.544203960000004","128.16176952",""
"87","30.899901840000002","128.17708212000002",""
"88","31.276636920000005","128.18187612",""
"89","31.674409200000003","128.17612332000002",""
"90","31.792017300000005","128.04416988000003",""
"91","31.914408120000004","127.89596196000002",""
"92","32.039669700000005","127.73054358000002",""
"93","32.16588444","127.54791474000001",""
"94","32.08938912","127.52879514",""
"95","32.010028680000005","127.48863552000002",""
"96","31.933533360000002","127.43030946000002",""
"97","31.86181794","127.35668208000001",""
"98","31.836973740000005","127.32417312000001",""
"99","31.712668140000005","127.43795730000001",""
"100","31.584541440000002","127.54026972000001",""
"101","31.452588000000006","127.63206354000002",""
"102","31.316810640000003","127.71333876000001",""
"103","31.179121320000004","127.78218342000001",""
"104","31.039517220000004","127.83955350000001",""
"105","30.898959960000003","127.88545182000001",""
"106","30.757446720000004","127.91891676000002",""
"107","30.615930660000004","127.93995396000001",""
"108","30.47441742","127.94951376000002",""
"109","30.33385734","127.94567856",""
"110","30.195212040000005","127.92943536000001",""
"111","30.058478700000002","127.89979434000001",""
"112","29.92556928","127.85772276000002",""
"113","29.794571820000005","127.80130584000001",""
"114","29.668357080000003","127.73246118000002",""
"115","29.546922240000004","127.649274",""
"116","29.430267300000004","127.55174430000001",""
"117","29.319351060000002","127.44082806",""
"118","29.21512668","127.31556648000002",""
"119","29.117596980000002","127.17596520000001",""
"120","29.026759140000003","127.02106260000002",""
"121","28.944527940000004","126.85182030000001",""
"122","28.871859360000002","126.66727668000001",""
"123","28.8077946","126.46743456",""
"124","28.75329246","126.25229394000002",""
"125","28.709308920000005","126.02185482000002",""
"126","28.67679714","125.77516122000002",""
"127","28.655759940000003","125.51316912000001",""
"128","28.64620014","125.23396374000001",""
"129","28.650035340000006","124.93945986000001",""
"130","28.652911740000004","124.88208978000002",""
"131","29.61004794","124.88208978000002",""
"132","29.618648940000003","124.93276518000002",""
"133","29.656896600000003","125.09244768",""
"134","29.701836120000003","125.24448234",""
"135","29.755382280000003","125.38886352000002",""
"136","29.81562312","125.52559968000001",""
