time	V(vgate)	V(vout)	I(D3)
0.000000000000000e+000	3.300000e+000	7.492814e-003	3.465263e-001
6.249999897583222e-013	3.300000e+000	7.492814e-003	3.465263e-001
1.249999979516644e-012	3.300000e+000	7.492814e-003	3.465263e-001
1.874999969274967e-012	3.300000e+000	7.492814e-003	3.465263e-001
2.499999959033289e-012	3.300000e+000	7.492814e-003	3.465263e-001
3.124999948791611e-012	3.300000e+000	7.492814e-003	3.465263e-001
3.749999938549933e-012	3.300000e+000	7.492814e-003	3.465263e-001
4.374999928308254e-012	3.300000e+000	7.492814e-003	3.465263e-001
8.749999856616508e-012	3.300000e+000	7.492814e-003	3.465263e-001
1.374494661478610e-011	3.299999e+000	7.492813e-003	3.465263e-001
1.885031357918058e-011	3.299999e+000	7.492812e-003	3.465263e-001
2.388100038321286e-011	3.299997e+000	7.492810e-003	3.465263e-001
3.002146194213834e-011	3.299994e+000	7.492804e-003	3.465263e-001
3.788084375169781e-011	3.299989e+000	7.492790e-003	3.465264e-001
4.811894678445112e-011	3.299979e+000	7.492758e-003	3.465264e-001
6.142723222728277e-011	3.299959e+000	7.492681e-003	3.465264e-001
7.907332504597071e-011	3.299918e+000	7.492501e-003	3.465264e-001
1.028718976975444e-010	3.299831e+000	7.492070e-003	3.465264e-001
1.362079621510156e-010	3.299642e+000	7.491012e-003	3.465264e-001
1.856920626360538e-010	3.299195e+000	7.488257e-003	3.465265e-001
2.704309082510078e-010	3.297971e+000	7.480170e-003	3.465266e-001
4.192474898455331e-010	3.294818e+000	7.458672e-003	3.465267e-001
5.748888667140143e-010	3.290400e+000	7.428556e-003	3.465268e-001
7.732023442597180e-010	3.283714e+000	7.383527e-003	3.465269e-001
8.397790530976782e-010	3.281106e+000	7.366595e-003	3.465269e-001
1.000000000000000e-009	3.274499e+000	7.324909e-003	3.465270e-001
1.025239983897682e-009	3.273417e+000	7.318264e-003	3.465270e-001
1.058893295761257e-009	3.272000e+000	7.309610e-003	3.465270e-001
1.126199919488408e-009	3.269347e+000	7.293834e-003	3.465270e-001
1.260813166942711e-009	3.264768e+000	7.268950e-003	3.465270e-001
1.459274096894779e-009	3.259424e+000	7.245690e-003	3.465271e-001
1.680923042779604e-009	3.254917e+000	7.234033e-003	3.465272e-001
1.921280668105472e-009	3.251107e+000	7.232083e-003	3.465272e-001
2.209443930010514e-009	3.247202e+000	7.236368e-003	3.465272e-001
2.590891719705012e-009	3.242420e+000	7.245880e-003	3.465272e-001
3.131153353506059e-009	3.235857e+000	7.261397e-003	3.465273e-001
3.960081880430315e-009	3.225896e+000	7.286149e-003	3.465273e-001
5.440696173958590e-009	3.208219e+000	7.331012e-003	3.465273e-001
8.401924761015137e-009	3.173229e+000	7.422556e-003	3.465274e-001
1.432438193512823e-008	3.104354e+000	7.611412e-003	3.465274e-001
2.116031943512824e-008	3.026499e+000	7.838552e-003	3.465267e-001
2.799625693512824e-008	2.950530e+000	8.077040e-003	3.465251e-001
3.483219443512824e-008	2.876466e+000	8.328092e-003	3.465221e-001
4.850406943512824e-008	2.733858e+000	8.871747e-003	3.465117e-001
6.217594443512823e-008	2.598301e+000	9.478290e-003	3.464954e-001
7.584781943512822e-008	2.469440e+000	1.015850e-002	3.464730e-001
8.268375693512822e-008	2.407415e+000	1.053029e-002	3.464594e-001
8.951969443512821e-008	2.346940e+000	1.092576e-002	3.464443e-001
9.635563193512820e-008	2.287975e+000	1.134714e-002	3.464275e-001
1.031915694351282e-007	2.230483e+000	1.179694e-002	3.464089e-001
1.100275069351282e-007	2.174426e+000	1.227798e-002	3.463886e-001
1.168634444351282e-007	2.119770e+000	1.279351e-002	3.463664e-001
1.236993819351282e-007	2.066481e+000	1.334721e-002	3.463422e-001
1.305353194351282e-007	2.014525e+000	1.394333e-002	3.463159e-001
1.373712569351282e-007	1.963871e+000	1.458674e-002	3.462873e-001
1.442071944351282e-007	1.914490e+000	1.528311e-002	3.462564e-001
1.510431319351282e-007	1.866352e+000	1.603903e-002	3.462228e-001
1.578790694351282e-007	1.819431e+000	1.686220e-002	3.461865e-001
1.647150069351282e-007	1.773702e+000	1.776173e-002	3.461471e-001
1.715509444351282e-007	1.729142e+000	1.874837e-002	3.461043e-001
1.783868819351283e-007	1.685730e+000	1.983498e-002	3.460578e-001
1.852228194351283e-007	1.643450e+000	2.103697e-002	3.460072e-001
1.920587569351283e-007	1.602285e+000	2.237296e-002	3.459520e-001
1.988946944351283e-007	1.562226e+000	2.386564e-002	3.458917e-001
2.057306319351283e-007	1.523265e+000	2.554280e-002	3.458256e-001
2.125665694351283e-007	1.485402e+000	2.743877e-002	3.457529e-001
2.194025069351283e-007	1.448643e+000	2.959629e-002	3.456725e-001
2.262384444351283e-007	1.413003e+000	3.206896e-002	3.455835e-001
2.330743819351283e-007	1.378507e+000	3.492460e-002	3.454843e-001
2.399103194351283e-007	1.345197e+000	3.824973e-002	3.453731e-001
2.467462569351283e-007	1.313131e+000	4.215589e-002	3.452479e-001
2.535821944351283e-007	1.282397e+000	4.678858e-002	3.451058e-001
2.604181319351283e-007	1.253114e+000	5.234043e-002	3.449434e-001
2.672540694351284e-007	1.225457e+000	5.907160e-002	3.447563e-001
2.740900069351284e-007	1.199675e+000	6.734276e-002	3.445388e-001
2.809259444351284e-007	1.176137e+000	7.767159e-002	3.442833e-001
2.877618819351284e-007	1.155413e+000	9.083382e-002	3.439795e-001
2.945978194351284e-007	1.138412e+000	1.080476e-001	3.436132e-001
3.014337569351284e-007	1.126633e+000	1.312887e-001	3.431637e-001
3.082696944351284e-007	1.120941e+000	1.618209e-001	3.426019e-001
3.151056319351284e-007	1.119448e+000	1.975595e-001	3.418945e-001
3.219415694351284e-007	1.119119e+000	2.349408e-001	3.410146e-001
3.287775069351284e-007	1.118733e+000	2.725227e-001	3.399499e-001
3.356134444351284e-007	1.118290e+000	3.103255e-001	3.387009e-001
3.424493819351284e-007	1.117794e+000	3.483767e-001	3.372740e-001
3.492853194351284e-007	1.117246e+000	3.867013e-001	3.356779e-001
3.561212569351284e-007	1.116649e+000	4.253296e-001	3.339215e-001
3.629571944351285e-007	1.116004e+000	4.642918e-001	3.320132e-001
