"Index","X (mm)","Y (mm)","Arc Angle (Neg = CW)"
"0","47.58201228","129.18449046",""
"1","47.58144828000001","129.18505446",""
"2","47.466885780000005","129.2230596",""
"3","47.55501078000001","129.49514448",""
"4","47.63872812","129.76833198",""
"5","47.71749072000001","130.04317200000003",""
"6","47.79184566","130.31966454000002",""
"7","47.86234566","130.59725688",""
"8","47.927888100000004","130.87650456000003",""
"9","47.98957560000001","131.15629932000002",""
"10","48.04740816","131.43774942000002",""
"11","48.100283160000004","131.72029932",""
"12","48.14985312","132.00395184",""
"13","48.2357757","132.57401202000003",""
"14","48.305725800000005","133.14682452000002",""
"15","48.36080322000001","133.72294206",""
"16","48.39990816","134.30126202000002",""
"17","48.42469596000001","134.88178440000002",""
"18","48.43515816","135.4628595",""
"19","48.43129476","136.04503440000002",""
"20","48.413669760000005","136.6272093",""
"21","48.382824600000006","137.2088343",""
"22","48.339314820000006","137.7899094",""
"23","48.29800464","138.21731706000003",""
"24","46.67264970000001","138.21731706000003",""
"25","46.69027470000001","138.02949942",""
"26","46.7122989","137.66708430000003",""
"27","46.64840616000001","137.93696958",""
"28","46.58231382","138.19693692",""
"29","46.57681482","138.21732552",""
"30","46.53164970000001","138.21732552",""
"31","46.53164970000001","138.21845352000003",""
"32","46.57626210000001","138.21845352000003",""
"33","46.51402470000001","138.44702862000003",""
"34","46.44407460000001","138.68772126000002",""
"35","46.29866976","139.14211350000002",""
"36","46.149959880000004","139.56070866000002",""
"37","46.000697280000004","139.94570352000002",""
"38","45.8525373","140.29820352000002",""
"39","45.70933488000001","140.62041108",""
"40","45.57273972","140.91342600000002",""
"41","45.332599800000004","141.41959626000002",""
"42","45.234559680000004","141.63550110000003",""
"43","45.154147380000005","141.82937610000002",""
"44","45.0946623","142.00177116000003",""
"45","45.0731739","142.08053376",""
"46","45.05831250000001","142.15488870000001",""
"47","45.050049900000005","142.22483598000002",""
"48","45.0483579","142.29093114",""
"49","45.054420900000004","142.35261864",""
"50","45.067646700000005","142.4104512",""
"51","45.15742422","142.22098104000003",""
"52","45.25546434","142.03426602000002",""
"53","45.361214340000004","141.84865362000002",""
"54","45.471921900000005","141.66083598",""
"55","45.70435194","141.26978376000002",""
"56","45.82221948","141.06213870000002",""
"57","45.939534300000005","140.84237610000002",""
"58","46.0546467","140.60829354",""
"59","46.16535426000001","140.35768860000002",""
"60","46.270554360000006","140.08835604",""
"61","46.368594480000006","139.79699364",""
"62","46.458372000000004","139.48249596000002",""
"63","46.499129460000006","139.31505846000002",""
"64","46.53713178000001","139.1410137",""
"65","46.57238178000001","138.95980614",""
"66","46.60432674","138.7708887",""
"67","46.63296948000001","138.57425856",""
"68","46.65829308","138.36936864",""
"69","46.67261868000001","138.21845352000003",""
"70","48.29797362","138.21845352000003",""
"71","48.28311222000001","138.36936864",""
"72","48.240702240000005","138.74004354000002",""
"73","48.1933347","139.11016854000002",""
"74","48.141009600000004","139.47919374000003",""
"75","48.083729760000004","139.84656360000002",""
"76","48.02259216","140.21283366000003",""
"77","47.95649982000001","140.57800110000002",""
"78","47.88599982000001","140.94096612",""
"79","47.81109216","141.30227862",""
"80","47.73177966","141.6619386",""
"81","47.648612220000004","142.01939616",""
"82","47.56158984","142.37464848000002",""
"83","47.470159800000005","142.72714848",""
"84","47.375424720000005","143.07744606",""
"85","47.276284800000006","143.4249885",""
"86","47.17383984000001","143.77032852000002",""
"87","47.067537120000004","144.11181360000003",""
"88","46.93149468000001","144.53150856000002",""
"89","46.79049468000001","144.94569606000002",""
"90","46.64398722000001","145.354926",""
"91","46.4930721","145.75864848",""
"92","46.33720224","146.15631360000003",""
"93","46.177474620000005","146.54847126",""
"94","46.01334216","146.93346612000002",""
"95","45.845354760000006","147.31240362000003",""
"96","45.6735096","147.68473104",""
"97","45.498362220000004","148.04934858000001",""
"98","45.31935708","148.40680614000001",""
"99","45.13759962","148.75710372000003",""
"100","44.95253712","149.09858598000002",""
"101","44.7647223","149.43236118000002",""
"102","44.57470224","149.75787096000002",""
"103","44.38192704000001","150.07457106000004",""
"104","44.186952240000004","150.38190876000002",""
"105","43.989772200000004","150.68043114000002",""
